Open,High,Low,Adj Close,Volume
8390.950195,8492.299805,8380.75,8492.299805,134700.0
11296.650391,11328.099609,11261.450195,11319.549805,278800.0
11901.299805,12041.150391,11614.5,11657.049805,569000.0
,,,,
5718.600098,5777.299805,5711.399902,5760.100098,0.0
21477.650391,21505.050781,21337.75,21453.099609,249800.0
7303.950195,7323.450195,7275.149902,7298.200195,212100.0
5209.450195,5263.649902,5190.799805,5226.850098,0.0
5302.399902,5377.450195,5302.25,5361.75,0.0
2948.25,2953.199951,2839.100098,2848.5,0.0
10731.25,10774.700195,10688.799805,10763.400391,272100.0
10186.849609,10255.349609,10171.049805,10245.0,205300.0
6265.950195,6325.200195,6265.299805,6320.899902,145900.0
10813.25,10887.099609,10788.049805,10880.099609,385900.0
4998.899902,5030.299805,4964.450195,5017.200195,0.0
5805.75,5828.399902,5777.899902,5822.25,115500.0
17149.5,17155.599609,16909.599609,17003.75,182600.0
9859.5,9909.450195,9850.799805,9884.400391,157800.0
5413.700195,5485.799805,5413.600098,5476.100098,0.0
10829.200195,10906.849609,10793.900391,10894.700195,207600.0
5208.299805,5257.25,5208.299805,5230.100098,0.0
8741.5,8822.099609,8729.650391,8805.5,221900.0
3974.100098,4128.899902,3974.100098,4111.399902,0.0
5260.549805,5293.75,5260.549805,5282.0,0.0
19320.650391,19425.949219,19296.300781,19393.599609,262600.0
9422.200195,9598.849609,9376.900391,9580.299805,967000.0
8873.349609,8893.349609,8837.799805,8867.450195,172800.0
6082.100098,6088.399902,6061.399902,6074.799805,113100.0
2848.0,2938.800049,2778.800049,2810.350098,0.0
17529.449219,17622.400391,17244.550781,17576.849609,386400.0
17847.550781,17876.949219,17801.0,17856.5,232000.0
10751.950195,10790.450195,10699.700195,10741.099609,231100.0
5353.450195,5417.799805,5306.350098,5401.450195,261100.0
19605.550781,19623.599609,19495.400391,19543.099609,312200.0
8039.350098,8120.649902,8039.350098,8094.700195,162500.0
5285.0,5290.799805,5098.350098,5223.5,0.0
5756.100098,5786.450195,5700.950195,5780.049805,159200.0
2733.449951,2789.350098,2733.449951,2762.5,0.0
,,,,
5246.799805,5269.950195,5237.100098,5262.799805,0.0
18638.849609,18668.300781,18528.400391,18560.5,200500.0
11186.650391,11231.900391,11142.049805,11214.049805,452600.0
9646.700195,9647.049805,9598.5,9616.400391,141400.0
17750.300781,17898.699219,17744.150391,17871.699219,291000.0
10428.299805,10428.700195,10323.900391,10358.849609,194000.0
17653.349609,17666.150391,17579.849609,17618.75,281500.0
5963.600098,6042.100098,5894.799805,5974.299805,0.0
10414.799805,10472.200195,10406.0,10463.200195,169100.0
11340.099609,11380.75,11250.200195,11369.900391,268200.0
11466.299805,11599.099609,11439.650391,11586.349609,797600.0
20934.099609,21006.099609,20862.699219,20969.400391,292400.0
5671.149902,5686.5,5647.049805,5652.149902,0.0
21615.199219,21670.599609,21575.0,21622.400391,343100.0
10987.799805,11042.599609,10874.799805,11023.25,628200.0
21982.550781,22204.599609,21917.5,22146.650391,426700.0
8729.5,8856.950195,8717.450195,8844.599609,249500.0
8515.75,8571.400391,8500.700195,8565.0,153900.0
11271.299805,11346.799805,10866.450195,11143.099609,719000.0
7669.25,7717.399902,7663.350098,7708.950195,163400.0
7672.399902,7700.049805,7589.049805,7626.850098,186200.0
8004.200195,8061.850098,7952.350098,8047.299805,124000.0
5171.200195,5221.850098,5168.75,5201.049805,0.0
5432.5,5459.200195,5426.399902,5439.549805,0.0
11576.200195,11581.75,11539.599609,11570.900391,224200.0
4584.649902,4601.049805,4469.600098,4484.0,0.0
5561.899902,5621.5,5561.75,5607.149902,0.0
5536.25,5569.25,5477.200195,5558.700195,128600.0
5189.75,5206.700195,5126.5,5136.149902,0.0
6136.75,6165.350098,6109.850098,6144.350098,0.0
8354.099609,8378.700195,8321.849609,8362.650391,122000.0
16662.550781,16706.050781,16564.25,16631.0,211400.0
17276.0,17298.150391,16966.449219,16985.199219,354600.0
8291.349609,8332.599609,8245.599609,8323.0,103200.0
5011.200195,5109.799805,4997.649902,5099.399902,0.0
5260.399902,5293.899902,5235.149902,5249.100098,0.0
8161.899902,8174.549805,8126.5,8152.950195,104700.0
2813.399902,2835.699951,2694.5,2799.550049,0.0
5042.0,5043.399902,4979.049805,4987.700195,0.0
8512.25,8643.900391,8498.650391,8633.5,136800.0
8584.099609,8588.099609,8198.349609,8253.799805,506300.0
8450.299805,8500.299805,8438.650391,8475.75,151900.0
6307.350098,6317.299805,6287.299805,6304.0,103400.0
16481.650391,16646.400391,16443.050781,16628.0,236000.0
8570.349609,8722.400391,8537.5,8716.400391,327700.0
10495.299805,10519.900391,10451.450195,10480.599609,213100.0
4990.149902,5025.549805,4924.299805,4943.25,0.0
15917.400391,15984.75,15775.200195,15809.400391,313900.0
8441.25,8454.5,8407.25,8425.900391,134700.0
7717.450195,7726.850098,7670.600098,7716.5,199600.0
5989.700195,6026.200195,5970.049805,5995.399902,119300.0
6082.75,6097.850098,6067.350098,6089.5,146700.0
8676.950195,8732.549805,8599.25,8711.549805,158800.0
6772.049805,6776.75,6696.899902,6736.100098,197500.0
18376.400391,18399.449219,18311.400391,18329.150391,301400.0
8968.700195,8968.700195,8913.349609,8917.950195,290100.0
22064.849609,22120.900391,21931.699219,22023.349609,661500.0
9337.349609,9338.950195,9307.700195,9316.849609,132300.0
10931.049805,10944.799805,10811.950195,10831.5,298900.0
4166.0,4231.799805,4155.5,4202.149902,0.0
5054.350098,5127.399902,5054.350098,5118.200195,0.0
5366.0,5372.450195,5297.5,5339.75,0.0
